Medication,Medication JSON,Medication prompt (sentence format),drug,dose,unit,amount of diluent volume,volume unit of measure,diluent,infusion time,frequency
Amiodarone,Amiodarone 150 mg in 100 mL of D5W intravenous infused over 10 minutes once,"The patient received amiodarone 150 mg prepared in 100 mL of D5W, administered as an intravenously infused over 10 minutes once.",Amiodarone,150,mg,100,mL,D5W,10 minutes,once
Linezolid,Linezolid 600 mg in 300 mL of D5W intravenous infused over 60 minutes every 12 hours,"Linezolid 600 mg was administered every 12 hours intravenously infused, prepared in 300 mL of D5W and infused over 60 minutes.",Linezolid,600,mg,300,mL,D5W,60 minutes,every 12 hours
Potassium Chloride,Potassium chloride 10 mEq in 100 mL of sterile water intravenous infused over 60 minutes once,Potassium chloride 10 mEq in 100 mL of sterile water was intravenously infused over the course of 60 minutes once to the patient.,Potassium Chloride,10,mEq,100,mL,sterile water,60 minutes,once
Bumetanide,Bumetanide 4 mg in 50 mL of 0.9% sodium chloride intravenous infused over 60 minutes twice daily,"The patient was treated with bumetanide 4 mg, diluted in 50 mL of 0.9% sodium chloride and intravenously infused twice daily over 60 minutes.",Bumetanide,4,mg,50,mL,0.9% sodium chloride,69 minutes,twice daily
Levetiracetam,Levetiracetam 1000 mg in 100 mL 0.9% sodium chloride intravenous infused over 15 minutes every 12 hours,"Levetiracetam 1000 mg, mixed in 100 mL of 0.9% sodium chloride, was intravenously infused over 15 minutes every 12 hours.",Levetiracetam,1000,mg,100,mL,0.9% sodium chloride,15 minutes,every 12 hours
Piperacillin-tazobactam,Piperacillin-tazobactam 4.5 g in 100 mL of 0.9% sodium chloride intravenous infused over 30 minutes every 8 hours,"Every 8 hours, the patient received piperacillin–tazobactam 4.5 g in 100 mL of 0.9% sodium chloride over a 30-minute intravenously infused.",Piperacillin-tazobactam,4.5,g,100,mL,0.9% sodium chloride,30 minutes,every 8 hours
Ceftazidime,Ceftazidime 1000 mg in 100 mL of 0.9% sodium chloride intravenous infused over 3 hours every 8 hours,"Ceftazidime 1000 mg was delivered as a 3-hour intravenous infusion, prepared in 100 mL of 0.9% sodium chloride and administered every 8 hours.",Ceftazidime,1000,mg,100,mL,0.9% sodium chloride,3 hours,every 8 hours
Diphenhydramine,Diphenhydramine 50 mg in 50 mL of 0.9% sodium chloride intravenous infused over 15 minutes daily,A daily dose of diphenhydramine 50 mg in 50 mL of 0.9% sodium chloride was given as a 15-minute intravenous infusion.,Diphenhydramine,50,mg,50,mL,0.9% sodium chloride,15 minutes,once daily
Thiamine,Thiamine 400 mg in 50 mL of 0.9% sodium chloride intravenous infused over 30 minutes every 24 hours,"Thiamine 400 mg was infused intravenously every 24 hours, prepared in 50 mL of 0.9% sodium chloride and administered over 30 minutes.",Thiamine,400,mg,50,mL,0.9% sodium chloride,30 minutes,every 24 hours
Meropenem,Meropenem 2000 mg in 100 mL of 0.9% sodium chloride over 30 minutes every 8 hours,Meropenem 2000 mg in 100 mL of 0.9% sodium chloride was infused intravenously over 30 minutes to the patient every 8 hours.,Meropenem,2000,mg,100,mL,0.9% sodium chloride,30 minutes,every 8 hours
Vancomycin,Vancomycin 1250 mg in 275 mL of 0.9% sodium chloride intravenous infused over 90 minutes every 12 hours,"The patient received vancomycin 1250 mg, diluted in 275 mL of 0.9% sodium chloride, administered via intravenous infusion over 90 minutes every 12 hours.",Vancomycin,1250,mg,275,mL,0.9% sodium chloride,90 minutes,every 12 hours
Acetaminophen,Acetaminophen 1000 mg in 100 mL of sterile water intravenous infused over 15 minutes every 6 hours,"Acetaminophen 1000 mg was infused intravenously over 15 minutes, prepared in 100 mL of sterile water and given every 6 hours.",Acetaminophen,1000,mg,100,mL,sterile water,15 minutes,every 6 hours
Micafungin,Micafungin 100 mg in 100 mL of 0.9% sodium chloride intravenous infused over 60 minutes every 24 hours,Micafungin 100 mg in 100 mL of 0.9% sodium chloride was administered as an intravenous infusion over 60 minutes every 24 hours.,Micafungin,100,mg,100,mL,0.9% sodium chloride,60 minutes,every 24 hours
Iron Sucrose,Iron Sucrose 200 mg in 100 mL of 0.9% sodium chloride intravenous infused over 15 minutes daily for 5 days,"Iron sucrose 200 mg, diluted in 100 mL of 0.9% sodium chloride, was infused intravenously daily for 5 days, over 15 minutes.",Iron Sucrose,200,mg,100,mL,0.9% sodium chloride,15 minutes,once daily
Acyclovir,Acyclovir 5 mg/kg in 250 mL of 0.9% sodium chloride intravenous infused over 60 minutes every 12 hours,"Acyclovir dosed at 5 mg/kg was infused intravenously every 12 hours, prepared in 250 mL of 0.9% sodium chloride and administered over 60 minutes.",Acyclovir,5,mg/kg,250,mL,0.9% sodium chloride,60 minutes,every 12 hours
Methylprednisolone,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride intravenous infused over 30 minutes every 24 hours,Methylprednisolone 125 mg in 50 mL of 0.9% sodium chloride was administered every 24 hours by intravenous infusion over 30 minutes.,Methylprednisolone,125,mg,50,mL,0.9% sodium chloride,30 minutes,every 24 hours
Sodium Phosphate,Sodium Phosphate 15 mmol in 100 mL of D5W intravenously infused over 2 hours as needed for phosphorous replacement,"For the patients low electrolytes they received 15 mmol of sodium phosphorous as needed for phosphorous replacement, which was intravenously infused over 2 hours and prepared in 100 mL of D5W.",Sodium Phosphate,15,mmol,100,mL,D5W,2 hours,as needed for phosphorous replacement