Medication,Medication JSON,Medication prompt (sentence format),drug,dose,unit,volume,volume unit,concentration,concentration unit,formulation,frequency
Lacosamide,Lacosamide 200 mg (20 mL) of the 10 mg/mL vial solution intravenous push once,The patient will receive lacosamide at a dose of 200 mg once intravenous push by pulling up 20 mL of the 10 mg/mL vial solution.,Lacosamide,200,mg,20,mL,10,mg/mL,vial solution,once
Lorazepam,Lorazepam 4 mg (2 mL) of the 2 mg/ml vial solution intravenous push every 5 minutes,"To manage the patient’s symptoms, lorazepam 4 mg (2 mL of the 2 mg/mL vial) was pushed intravenously and repeated every 5 minutes.",Lorazepam,4,mg,2,mL,2,mg/mL,vial solution,every 5 minutes
Atropine,Atropine 1 mg (1mL) of the 1 mg/ml vial solution intravenous push once,"An intravenous push of atropine 1 mg, was administered once to the patient as 1 mL of the 1 mg/mL vial solution concentration.",Atropine,1,mg,1,mL,1,mg/mL,vial solution,once
Haloperidol,Haloperidol 2 mg (0.4 mL) of the 5 mg/mL vial solution intravenous push once,"Haloperidol 2 mg, which is equivalent to 0.4 mL of the 5 mg/mL vial solution, was administered as a rapid intravenous push once.",Haloperidol,2,mg,0.4,mL,5,mg/mL,vial solution,once
Succinylcholine,Succinylcholine 150 mg (7.5 mL) of the 20 mg/mL vial solution intravenous push once,Succinylcholine 150 mg (equivalent to 7.5 mL of the 20 mg/mL vial solution) was delivered as a intravenous push once.,Succinylcholine,150,mg,7.5,mL,20,mg/mL,vial solution,once
Insulin regular,Insulin regular 10 units (0.1 mL) of the 100 units/mL vial solution intravenous push once,"A once push dose of insulin regular 10 units, drawn as 0.1 mL of a 100 units/mL vial solution, was administered intravenously.",Insulin regular,10,units,0.1,mL,100,units/mL,vial solution,once
Etomidate,Etomidate 20 mg (10mL) of the 2 mg/mL vial solution intravenous push once,"Etomidate 20 mg was provided as a single intravenous push dose once, using 10 mL of the 2 mg/mL vial solution.",Etomidate,20,mg,10,mL,2,mg/mL,vial solution,once
Furosemide,Furosemide 20 mg (2 mL) of the 10 mg/mL vial solution intravenous push once,"Furosemide 20 mg was given once via intravenous push, prepared from 2 mL of the 10 mg/mL concentration vial solution.",Furosemide,20,mg,2,mL,10,mg/mL,vial solution,once
Hydralazine,Hydralazine 10 mg (0.5 mL) of the 20 mg/mL vial solution intravenous push once,The patient recieved hydralazine 10 mg (0.5 mL of the 20 mg/mL vial) and was administered once by intravenous push.,Hydralazine,10,mg,0.5,mL,20,mg/mL,vial solution,once
Dexamethasone,Dexamethasone 6 mg (0.6 mL) of the 10 mg/mL vial solution intravenous push daily,"Dexamethasone 6 mg, equivalent to 0.6 mL from a 10 mg/mL vial solution, was pushed intravenously daily.",Dexamethasone,6,mg,0.6,mL,10,mg/mL,vial solution,once daily
Naloxone,Naloxone 0.04 mg (0.1 mL) of the 0.4 mg/mL vial solution intravenous push once,a once dose of Naloxone 0.04 mg (0.1 mL of the 0.4 mg/mL solution) was administered as an intravenous push.,Naloxone,0.04,mg,0.1,mL,0.4,mg/mL,vial solution,once
Ondansetron,Ondansetron 4 mg (2 mL) of the 2 mg/mL vial solution intravenous push every 6 hours,"Ondansetron 4 mg every 6 hours, prepared from 2 mL of a 2 mg/mL vial solution and was pushed intravenously.",Ondansetron,4,mg,2,mL,2,mg/mL,vial solution,every 6 hours
Fentanyl,Fentanyl 50 mcg (1 mL) of the 50 mcg/mL vial solution intravenous push every 4 hours,"Fentanyl 50 mcg was administered by intravenous push every 4 hours, using 1 mL from the 50 mcg/mL vial solution.",Fentanyl,50,mcg,1,mL,50,mcg/mL,vial solution,every 4 hours
Rocuronium,Rocuronium 80 mg (8 mL) of the 10 mg/mL vial solution intravenous push once,"Rocuronium 80 mg, drawn up as 8 mL of the 10 mg/mL vial solution, was administered once as an intravenous push.",Rocuronium,80,mg,8,mL,10,mg/mL,vial solution,once
Ketorolac,Ketorolac 15 mg (1 mL) of the 15 mg/mL vial solution intravenous push every 8 hours,Ketorolac 15 mg every 8 hours (1 mL of the 15 mg/mL vial solution formulation) was pushed intravenously.,Ketorolac,15,mg,1,mL,15,mg/mL,vial solution,every 8 hours
Famotidine,Famotidine 20 mg (2 mL) of the 20 mg/mL vial solution intravenous push twice daily,"Famotidine 20 mg, 2 mL of a 20 mg/2 mL vial, was administered twice daily via intravenous push.",Famotidine,20,mg,2,mL,10,mg/mL,vial solution,twice daily
Levothyroxine,Levothyroxine 100 mcg (5 mL) of the 20 mcg/mL vial solution intravenous push daily,"Levothyroxine 100 mcg, prepared from 5 mL of the 20 mcg/mL vial solution, was administered daily as an intavenous push dose.",Levothyroxine,100,mcg,5,mL,20,mcg/mL,vial solution,once daily