Medication,Medication JSON (ground truth),Medication prompt (sentence format),Drug name,Numerical dose,unit,amount,formulation,route,frequency
Amlodipine,Amlodipine 2.5 mg 1 tablet by mouth once daily,The patient received 2.5mg (1 tablet) by mouth amlodipine once daily,Amlodipine,2.5,mg,1,tablet,by mouth,once daily
Azithromycin,Azithromycin 250 mg 1 tablet by mouth once daily,Give azithromycin 250 mg tablet by mouth once daily,Azithromycin,250,mg,1,tablet,by mouth,once daily
Baclofen,Baclofen 10 mg 1 tablet by mouth three times daily as needed for muscle spasms,The patient was taking baclofen three times daily by mouth as needed for muscle spasms. Each dose is 10 mg/1 tablet.,Baclofen,10,mg,1,tablet,by mouth,three times daily as needed for muscle spasms
Baricitinib,Baricitinib 4 mg 1 tablet by mouth once daily,Administer by mouth baricitinib once daily as a dose of 4 mg (1 tablet).,Baricitinib,4,mg,1,tablet,by mouth,once daily
Bisoprolol,Bisoprolol 2.5 mg 1 tablet by mouth once daily,"The patient received bisoprolol 2.5 mg by mouth for hypertension, one tablet daily.",Bisoprolol,2.5,mg,1,tablet,by mouth,once daily
Carisoprodol,Carisoprodol 350 mg 1 tablet by mouth three times daily and at bedtime,"Carisoprodol is given by mouth three times daily and at bedtime, as a dose of 350 mg (1 tablet).",Carisoprodol,350,mg,1,tablet,by mouth,three times daily and at bedtime
Carvedilol,Carvedilol 6.25 mg 1 tablet by mouth every 12 hours,Patient TM is receiving carvedilol 6.25mg/1 tablet every 12 hours by mouth.,Carvedilol,6.25,mg,1,tablet,by mouth,every 12 hours
Citalopram,Citalopram 20 mg 1 tablet by mouth once daily,"For depression, the patient is receiving 1 tablet of citalopram (20mg) by mouth daily.",Citalopram,20,mg,1,tablet,by mouth,once daily
Dexmethylphenidate,Dexmethylphenidate 10 mg 1 extended release capsule by mouth once daily,Extended release dexmethylphenidate 10mg capsule is given by mouth once daily.,Dexmethylphenidate,10,mg,1,extended release capsule,by mouth,once daily
Doxycycline,Doxycycline monohydrate 100 mg 1 tablet by mouth every 12 hours,Doxycycline monohydrate 1 tablet is given to the patient (100 mg) every 12 hours by mouth.,Doxycycline monohydrate,100,mg,1,tablet,by mouth,every 12 hours
Duloxetine,Duloxetine 30 mg 1 delayed-release capsule by mouth once daily,A total dose of 30mg of duloxetine delayed-release capsule (quantity: 1) is given by mouth once daily,Duloxetine,30,mg,1,delayed-release capsule,by mouth,once daily
Entecavir,Entecavir 1 mg 1 tablet by mouth once daily,1 mg of entecavir (1 tablet) administered by mouth once daily,Entecavir,1,mg,1,tablet,by mouth,once daily
Felodipine,Felodipine 5 mg 1 extended release tablet by mouth once daily,1 extended release felodipine 5mg tablet is given once daily by mouth,Felodipine,5,mg,1,extended release tablet,by mouth,once daily
Fenofibrate,Fenofibrate 145 mg 1 tablet by mouth once daily,The patient is receiving 1 tablet of fenofibrate 145 mg by mouth once daily,Fenofibrate,145,mg,1,tablet,by mouth,once daily
Furosemide,Furosemide 20 mg 1 tablet by mouth once daily as needed for weight gain over 5 lbs,Give 1 tablet (20mg) of furosemide once daily by mouth as needed for weight gain over 5 lbs,Furosemide,20,mg,1,tablet,by mouth,once daily as needed for weight gain over 5 lbs
Hydroxyurea,Hydroxyurea 1000mg 2 capsules by mouth once daily,Hydroxyurea 2 capsules (total dose 1000mg) by mouth once daily,Hydroxyurea,1000,mg,2,capsules,by mouth,once daily
Hydromorphone,Hydromorphone 4 mg 1 tablet by mouth every 4 hours as needed for pain,The patient is receiving 1 tablet of hydromorphone 4 mg by mouth as needed for pain every 4 hours,Hydromorphone,4,mg,1,tablet,by mouth,every 4 hours as needed for pain
Isosorbide Mononitrate,Isosorbide mononitrate 20 mg 1 tablet by mouth twice daily,Give the patient 1 tablet of isosorbide mononitrate 20mg twice daily by mouth,Isosorbide Mononitrate,20,mg,1,tablet,by mouth,twice daily
Ketoconazole,Ketoconazole 200 mg 1 tablet by mouth once daily,The patient is currently receiveing 1 tablet of ketoconazole 200mg once daily by mouth,Ketoconazole,200,mg,1,tablet,by mouth,once daily
Methocarbamol,Methocarbamol 1500 mg 3 tablets by mouth three times daily as needed for muscle spasms,Give the patient a total dose of methocarbamol 1500mg by giving 3 x 500mg tablets by mouth three times daily as needed for muscle spasms,Methocarbamol,1500,mg,3,tablets,by mouth,three times daily as needed for muscle spasms
Methotrexate,Methotrexate 15 mg 1 tablet by mouth once weekly,Administer 1 tablet of methotrexate 15mg once weekly by mouth,Methotrexate,15,mg,1,tablet,by mouth,once weekly
Modafinil,Modafinil 200 mg 1 tablet by mouth once daily in the morning,"Once daily in the morning, give the patient 200mg modafinil/ 1 tablet by mouth",Modafinil,200,mg,1,tablet,by mouth,once daily in the morning
Montelukast,Montelukast 10 mg 1 tablet by mouth once daily in the evening,"Daily in the evening, administer 10mg (1 tablet) montelukast by mouth",Montelukast,10,mg,1,tablet,by mouth,once daily in the evening
Omeprazole,Omeprazole 20 mg 1 delayed-release tablet by mouth once daily,Administer 20mg omezprazole (1 delayed-release tablet) once daily by mouth,Omeprazole,20,mg,1,delayed-release tablet,by mouth,once daily
Ondansetron,Ondansetron 8 mg 1 orally-disintegrating tablet by mouth every 8 hours as needed for vomiting,The patient is receiving ondansetron as needed for vomiting every 8 hours using 8 mg orally-disintegrating tablets (1 tablet per dose),Ondansetron,8,mg,1,orally-disintegrating tablet,by mouth,every 8 hours as needed for vomiting
Pioglitazone,Pioglitazone 30 mg 1 tablet by mouth once daily,Give by mouth once daily a dose of 30 mg pioglitazone (1 tablet),Pioglitazone,30,mg,1,tablet,by mouth,once daily
Paroxetine,Paroxetine 20 mg 1 tablet by mouth once daily,"Once daily, administer 1 tablet of paroxetine 20mg by mouth",Paroxetine,20,mg,1,tablet,by mouth,once daily
Quetiapine,Quetiapine 200 mg 1 extended release tablet by mouth once daily,Use an extended release tablet of quetiapine 200 mg to give to the patient by mouth once daily,Quetiapine,200,mg,1,extended-release tablet,by mouth,once daily
Quinapril,Quinapril 10 mg 1 tablet by mouth once daily,Quinapril 1 tablet - 10mg once daily by mouth,Quinapril,10,mg,1,tablet,by mouth,once daily
Ropinirole,Ropinirole 2 mg 1 tablet by mouth three times daily,"Among the patient's medications includes the following medication: ropinirole 2 mg (1 tablet), given to the patient by mouth three times daily",Ropinirole,2,mg,1,tablet,by mouth,three times daily
Simvastatin,Simvastatin 20 mg 1 tablet by mouth once daily in the evening,"Administer 1 tablet of simvastatin by mouth once daily in the evening, using a dose of 20mg.",Simvastatin,20,mg,1,tablet,by mouth,once daily in the evening
Temazepam,Temazepam 15 mg 1 capsule by mouth once daily at bedtime as needed for insomnia,Temazepam capsule- give 1 capsule (15 mg) once daily at bedtime as needed for insomnia by mouth,Temazepam,15,mg,1,capsule,by mouth,once daily at bedtime as needed for insomnia
Tizanidine,Tizanidine 2 mg 1 capsule by mouth every 8 hours as needed for muscle spasms,"Provide the patient with 1 capsule of tizanidine by mouth every 8 hours as needed for muscle spasms, with a dose equal to 2mg",Tizanidine,2,mg,1,capsule,by mouth,every 8 hours as needed for muscle spasms
Tolterodine,Tolterodine 2 mg 1 extended-release capsule by mouth once daily,Administer an extended-release capsule of tolterodine 2 mg to the patient by mouth once daily,Tolterodine,2,mg,1,extended-release capsule,by mouth,once daily
Tramadol,Tramadol 50 mg 1 tablet by mouth every 6 hours as needed for pain,The patient should receive 1 tablet by mouth every 6 hours as needed for pain of tramadol 50 mg,Tramadol,50,mg,1,tablet,by mouth,every 6 hours as needed for pain
Valacyclovir,Valacyclovir 1 g 1 tablet by mouth twice daily,Give 1 g of valacyclovir (1 tablet) twice daily by mouth,Valacyclovir,1,g,1,tablet,by mouth,twice daily
Vardenafil,Vardenafil 5 mg 1 tablet by mouth once daily,Administer once daily a dose of 5 mg (1 tablet) of vardenafil by mouth,Vardenafil,5,mg,1,tablet,by mouth,once daily
Warfarin,"Warfarin 2.5 mg 1 tablet by mouth once daily on Mondays, Wednesdays, and Fridays","On Mondays, Wednesdays, and Fridays, the patient should receive 2.5 mg (1 tablet) of warfarin by mouth once daily",Warfarin,2.5,mg,1,tablet,by mouth,"once daily on Mondays, Wednesdays, and Fridays"
Ziprasidone,Ziprasidone 20 mg 1 capsule by mouth twice daily with meals,"Twice daily with meals, administer ziprasidone 20 mg (1 capsule) by mouth",Ziprasidone,20,mg,1,capsule,by mouth,twice daily with meals
Zolpidem,Zolpidem 3.5 mg 1 sublingual tablet by mouth once daily at bedtime,"Using a sublingual tablet, administer 3.5 mg of zolpidem by mouth once daily at bedtime",Zolpidem,3.5,mg,1,sublingual tablet,by mouth,once daily at bedtime